Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
8.74,0.11,7.53,475.64,46.96,266.05,0.0,97.63,0.27,95.41,223.23,3.3,79.71,86.16,41.48,6.7,0.23,potable
9.69,0.82,6.54,367.3,987.55,149.08,0.06,190.42,0.09,9.42,207.74,4.73,25.91,62.45,34.72,28.29,0.93,potable
14.57,1.51,6.58,583.57,400.87,0.34,0.01,229.22,0.21,148.24,201.31,4.52,31.64,142.68,5.62,0.3,0.88,potable
1.05,4.52,6.64,401.69,299.54,239.74,0.04,46.17,0.0,91.07,100.6,0.93,72.32,47.74,48.88,12.59,0.28,potable
4.87,4.33,6.64,379.17,4.2,109.24,0.13,47.23,0.07,128.2,332.89,4.51,42.92,105.15,17.34,25.19,0.79,potable
12.2,2.94,8.32,1091.41,695.52,178.37,0.02,220.17,0.2,158.35,176.34,2.87,13.45,121.55,9.57,27.14,1.44,potable
2.46,0.0,6.82,1193.54,672.9,87.32,0.09,32.33,0.23,199.29,250.86,3.67,43.21,124.58,45.13,19.46,1.9,potable
6.55,3.33,7.17,1367.79,608.1,33.45,0.13,38.52,0.08,43.83,217.62,3.47,75.09,78.8,26.29,36.16,1.16,potable
4.7,3.95,6.74,71.79,434.57,117.37,0.06,179.83,0.1,182.21,193.87,0.8,35.99,58.24,49.17,3.39,1.19,potable
0.25,2.8,6.69,530.67,561.39,54.47,0.17,222.46,0.12,103.25,46.93,0.06,46.13,124.48,12.45,40.92,1.2,potable
10.0,4.65,7.07,632.99,378.48,17.58,0.12,215.36,0.07,165.2,293.39,0.57,26.13,1.68,21.35,6.29,0.1,potable
5.29,3.23,6.75,427.46,295.27,167.6,0.17,78.66,0.12,132.73,211.79,3.96,41.47,22.8,8.22,26.62,1.7,potable
1.56,3.73,7.4,739.51,806.26,274.36,0.06,102.12,0.27,44.84,144.93,3.63,38.1,40.12,0.49,4.43,1.34,potable
13.02,4.67,7.41,710.79,188.41,97.72,0.04,35.92,0.06,60.32,86.27,0.58,3.7,56.93,34.42,21.5,0.27,potable
1.31,3.9,7.55,59.57,474.98,77.34,0.06,165.92,0.14,20.33,318.09,1.64,1.71,71.59,42.11,6.25,0.79,potable
8.64,4.99,8.03,1275.82,686.09,104.79,0.11,29.51,0.09,1.48,283.69,4.24,64.47,68.21,47.74,31.12,0.22,potable
7.43,1.39,8.48,199.1,623.92,91.46,0.19,205.39,0.19,130.1,253.15,1.66,21.83,14.55,19.72,5.84,0.61,potable
3.9,2.76,8.1,1255.33,704.42,22.05,0.17,119.25,0.0,127.39,379.97,2.78,59.32,39.6,36.48,42.32,0.26,potable
7.36,4.68,8.3,992.89,899.46,274.42,0.07,31.52,0.23,85.07,251.52,4.74,9.91,45.88,1.42,18.79,2.12,potable
5.22,2.83,8.17,672.79,864.9,164.62,0.13,220.37,0.12,74.58,84.82,2.16,73.48,3.17,21.23,4.97,0.07,potable
12.5,2.05,8.04,1335.01,307.07,178.57,0.17,197.18,0.19,188.83,111.2,3.36,78.89,14.19,42.6,27.06,0.96,potable
5.07,0.24,7.93,1356.27,282.43,118.21,0.2,194.34,0.25,14.43,147.94,1.62,19.42,7.48,19.32,0.35,0.22,potable
3.8,0.91,7.34,1448.15,416.79,200.26,0.13,72.77,0.27,152.72,317.32,3.74,49.8,52.11,17.57,2.02,1.56,potable
4.31,1.64,7.67,841.59,530.76,233.03,0.15,150.84,0.27,165.92,183.66,1.55,70.06,84.23,42.41,17.86,1.87,potable
8.12,1.05,6.86,1004.5,814.45,248.53,0.12,15.0,0.22,80.95,362.55,2.1,93.51,82.14,16.27,11.72,0.86,potable
13.55,2.11,7.26,699.66,178.6,119.7,0.18,0.0,0.07,4.24,3.01,2.95,96.36,61.74,14.33,28.82,0.79,potable
6.12,1.47,6.66,450.52,149.65,179.65,0.05,70.95,0.1,165.88,319.83,0.69,95.81,7.31,15.37,42.86,0.78,potable
14.0,4.08,6.82,619.79,441.45,175.23,0.13,225.33,0.08,179.98,172.1,3.46,76.75,8.96,20.54,21.0,1.97,potable
14.13,1.96,7.61,226.44,372.09,269.5,0.03,69.85,0.12,162.63,325.92,0.45,93.16,119.0,3.94,24.16,0.66,potable
1.72,3.44,7.95,411.41,321.8,293.29,0.02,140.55,0.05,163.85,26.86,4.83,61.93,69.35,3.38,23.83,0.72,potable
3.21,0.98,8.13,272.09,69.9,286.44,0.0,123.34,0.27,96.88,298.88,3.55,80.64,27.23,29.96,34.08,0.53,potable
1.95,2.58,6.98,1243.97,595.38,268.75,0.06,220.87,0.23,160.13,215.26,0.03,29.32,72.35,26.03,27.5,1.19,potable
11.13,4.21,6.61,682.05,716.92,66.83,0.14,201.1,0.27,134.1,225.08,2.37,53.94,29.83,2.7,27.95,0.26,potable
4.37,2.74,7.45,545.78,120.33,74.41,0.03,54.2,0.13,72.23,237.18,4.56,55.3,48.71,48.75,11.3,2.03,potable
5.25,3.04,7.04,30.06,89.71,204.41,0.09,141.69,0.17,152.23,201.48,3.37,50.19,66.74,21.48,8.66,0.73,potable
0.03,3.76,6.8,1255.76,958.85,30.39,0.15,132.19,0.29,181.27,151.78,1.11,97.45,95.01,21.31,16.72,0.87,potable
3.35,2.01,6.63,184.1,715.48,14.3,0.12,71.99,0.12,154.46,250.92,3.21,55.45,123.23,43.75,20.08,1.62,potable
11.57,4.51,6.64,1171.25,338.16,97.78,0.07,211.98,0.25,5.2,367.01,0.77,35.04,16.75,5.06,27.57,1.9,potable
2.06,2.0,6.83,703.53,342.5,164.17,0.15,135.66,0.06,170.85,97.27,0.22,81.52,38.38,7.12,23.18,0.07,potable
4.66,1.35,7.46,696.21,252.27,245.07,0.05,139.13,0.11,122.46,154.87,4.27,20.92,84.8,36.77,38.06,1.22,potable
7.09,1.33,7.84,678.49,465.24,227.04,0.18,97.09,0.12,186.56,254.25,3.31,42.87,95.65,11.67,43.02,0.25,potable
12.36,3.31,6.7,229.26,833.47,281.71,0.1,51.97,0.27,85.31,20.52,2.95,81.69,45.72,20.35,3.51,1.32,potable
10.09,2.14,7.29,1330.95,197.38,231.84,0.01,54.32,0.08,84.09,310.26,3.28,37.25,56.79,22.08,44.14,1.84,potable
14.81,2.17,7.64,794.41,517.54,290.92,0.06,162.9,0.28,130.99,223.8,0.6,83.12,12.79,44.23,29.07,2.06,potable
6.71,2.51,7.2,676.79,933.21,96.49,0.15,131.72,0.27,182.8,35.69,3.08,48.89,74.74,9.62,41.18,1.86,potable
11.53,1.06,6.53,1292.03,905.24,184.93,0.03,6.73,0.14,117.21,264.75,2.7,18.53,35.99,21.02,32.84,1.22,potable
12.03,0.08,8.35,1299.77,59.62,197.28,0.03,184.83,0.25,48.43,343.42,1.12,85.83,9.35,47.48,16.64,0.98,potable
11.26,1.88,8.04,236.34,564.74,38.9,0.2,190.53,0.08,36.95,263.93,0.81,91.54,73.94,12.91,6.63,0.06,potable
8.56,4.2,7.63,942.53,364.31,177.11,0.17,158.62,0.18,184.99,46.17,0.26,13.72,129.62,43.63,34.58,1.26,potable
12.49,2.55,7.61,334.22,53.52,191.01,0.18,142.4,0.07,37.98,331.47,3.27,89.75,13.84,8.02,41.95,0.85,potable
5.33,0.64,8.38,988.5,294.1,296.25,0.09,57.15,0.1,34.67,179.41,2.49,13.37,114.62,45.82,25.55,1.08,potable
1.32,1.48,6.54,183.39,612.11,220.43,0.03,163.72,0.04,145.43,322.37,4.39,0.04,79.69,3.95,37.88,1.64,potable
0.85,0.35,7.69,144.63,796.28,251.4,0.11,192.62,0.27,1.02,301.95,3.5,44.08,50.97,13.36,41.93,0.54,potable
2.55,2.78,7.05,1157.64,24.91,156.76,0.12,30.81,0.08,177.83,43.84,0.59,95.96,110.72,48.59,5.94,1.66,potable
9.15,3.86,7.02,389.45,443.55,176.65,0.18,11.8,0.3,13.54,98.26,3.16,72.67,115.73,49.03,24.81,1.82,potable
10.28,1.99,8.13,690.5,900.13,154.98,0.17,212.23,0.29,181.85,272.12,4.0,89.08,141.28,39.77,27.6,1.79,potable
10.05,3.34,7.45,1057.9,846.19,238.27,0.06,0.15,0.22,142.44,126.75,2.25,82.56,141.17,37.11,37.78,0.26,potable
10.64,1.41,7.16,839.28,41.19,24.18,0.03,50.46,0.15,26.8,231.34,4.76,75.97,128.18,17.09,44.82,0.32,potable
2.69,1.23,6.62,1378.25,842.76,213.18,0.12,71.7,0.07,8.24,220.14,1.03,49.78,36.65,1.22,9.69,0.48,potable
7.47,3.4,8.34,210.83,625.28,233.06,0.04,117.44,0.21,178.73,368.65,2.93,40.39,120.06,35.73,13.18,2.06,potable
14.61,2.41,8.13,1311.36,548.78,136.99,0.15,46.77,0.12,118.42,41.48,0.22,83.29,70.18,47.26,4.82,1.54,potable
3.43,4.05,8.0,155.14,683.44,202.42,0.01,33.65,0.13,102.11,262.69,0.29,13.51,74.08,1.88,2.5,0.69,potable
12.95,2.31,6.78,1425.76,38.6,232.61,0.11,72.99,0.18,50.42,122.58,0.43,8.89,15.54,26.44,35.08,1.09,potable
0.89,4.08,7.13,613.26,668.94,215.85,0.15,179.5,0.2,134.48,208.95,2.6,18.86,55.49,31.43,12.0,1.68,potable
12.67,1.97,8.29,1231.04,513.31,145.72,0.2,78.06,0.26,124.47,245.56,1.18,31.52,14.49,38.55,34.21,1.64,potable
2.37,3.44,7.9,63.1,60.03,106.26,0.01,110.35,0.17,183.93,241.72,2.03,14.63,107.88,17.23,34.2,1.93,potable
5.93,2.6,6.67,1239.54,166.66,171.41,0.08,4.42,0.24,80.35,297.42,2.66,81.01,36.34,6.17,38.48,0.13,potable
2.61,2.75,7.26,1254.78,647.73,35.25,0.16,31.17,0.09,80.64,265.27,2.55,99.58,73.62,46.1,35.58,0.98,potable
10.72,2.35,7.71,1445.45,295.16,102.31,0.03,201.98,0.28,158.7,50.4,3.35,61.19,62.23,18.43,17.44,2.16,potable
8.31,1.7,8.2,81.1,984.01,284.2,0.17,117.07,0.22,169.99,331.55,1.79,95.75,82.79,18.57,31.05,0.02,potable
13.46,4.55,7.12,82.27,860.74,188.94,0.18,3.18,0.03,3.85,123.01,4.97,74.81,31.96,15.08,42.21,1.74,potable
8.55,4.99,7.83,1369.84,35.45,92.18,0.06,47.38,0.1,134.77,48.28,1.38,98.34,137.16,29.66,23.52,2.01,potable
0.47,2.48,7.28,448.7,394.14,163.32,0.17,110.97,0.12,60.58,392.51,3.32,20.72,6.3,29.46,0.57,1.71,potable
11.46,3.96,7.7,1162.86,284.41,147.6,0.05,238.81,0.05,111.81,141.43,0.73,5.43,51.48,13.4,30.65,1.6,potable
12.97,2.57,8.03,590.82,993.14,107.9,0.18,104.11,0.21,2.19,89.57,0.43,1.87,73.95,19.58,14.43,1.25,potable
9.4,4.29,7.46,10.04,17.9,37.67,0.15,17.5,0.3,70.03,305.86,4.22,6.64,14.53,20.74,3.96,0.04,potable
6.64,4.53,6.94,737.53,756.63,178.53,0.12,170.85,0.17,124.71,118.51,0.75,31.68,133.91,37.01,24.16,1.29,potable
11.64,1.21,7.77,1372.75,250.88,275.19,0.1,186.82,0.1,33.26,263.66,4.39,66.82,125.89,31.37,24.87,1.31,potable
14.68,4.75,6.84,485.43,598.15,41.45,0.18,115.23,0.08,103.69,325.85,0.22,96.62,147.34,22.87,34.15,1.29,potable
8.27,4.89,7.38,739.78,792.43,69.36,0.01,25.85,0.08,37.57,31.02,1.51,70.46,32.18,6.57,31.54,1.74,potable
6.98,4.16,7.63,400.51,564.21,153.68,0.05,113.75,0.13,106.58,153.55,1.84,55.41,143.85,25.35,42.21,1.27,potable
3.2,4.93,8.09,386.1,784.75,195.43,0.14,48.92,0.08,106.6,4.27,1.42,45.09,43.84,46.97,22.72,0.65,potable
9.24,4.73,6.63,347.67,10.54,290.74,0.04,228.41,0.26,150.64,131.23,2.6,63.56,10.15,43.24,37.05,1.81,potable
10.65,4.12,8.35,564.48,362.48,145.09,0.01,240.5,0.29,110.57,60.94,4.44,92.08,14.63,17.91,40.15,1.71,potable
0.01,3.42,8.28,394.45,610.94,74.25,0.05,233.72,0.09,73.9,151.81,1.49,32.43,91.39,36.25,26.6,1.82,potable
9.31,4.43,6.85,1001.73,612.19,188.92,0.18,108.32,0.04,20.17,371.63,4.72,49.66,104.83,44.32,9.33,1.68,potable
1.78,1.9,7.73,8.09,436.21,235.7,0.07,182.71,0.12,7.2,251.6,0.47,91.69,120.52,18.83,3.08,1.15,potable
12.44,4.77,8.47,1129.45,417.74,230.76,0.19,68.45,0.25,139.53,369.93,2.03,80.97,53.52,30.38,16.3,1.46,potable
10.23,2.72,8.19,134.4,906.06,64.14,0.13,142.69,0.02,42.05,293.85,2.49,81.91,17.65,33.54,20.89,0.08,potable
3.28,2.3,8.48,1323.68,270.59,23.96,0.17,213.13,0.18,146.31,69.32,2.37,87.86,104.3,27.61,16.02,0.88,potable
10.82,4.03,7.56,1070.69,322.88,253.72,0.07,75.29,0.28,196.84,80.61,1.11,79.34,86.69,41.16,16.44,1.8,potable
1.9,2.06,7.12,401.88,713.82,68.3,0.1,103.42,0.24,195.36,33.94,2.19,50.69,144.04,41.7,34.97,0.65,potable
6.32,3.45,6.9,178.7,287.28,165.8,0.2,90.74,0.23,141.19,169.69,1.48,89.61,139.42,26.82,11.29,1.67,potable
0.28,2.58,7.47,308.25,176.99,276.09,0.0,206.52,0.29,41.95,181.37,1.63,29.85,106.98,31.85,10.97,1.79,potable
1.53,2.0,7.83,181.07,344.09,204.87,0.07,178.81,0.18,177.6,274.35,1.19,94.09,141.26,0.45,39.58,0.68,potable
12.64,4.93,8.17,209.31,131.52,281.5,0.12,223.88,0.3,105.17,89.77,4.97,73.61,102.09,4.33,27.33,2.19,potable
14.38,1.96,7.95,172.8,321.22,5.79,0.1,24.29,0.17,193.72,94.26,4.03,98.47,21.64,49.87,5.19,2.0,potable
11.87,4.61,8.45,679.39,412.54,216.85,0.18,145.16,0.12,140.59,357.51,2.3,47.09,50.35,38.66,10.55,0.24,potable
1.47,3.82,8.0,1258.41,430.45,267.71,0.15,131.17,0.07,98.03,348.56,0.96,62.93,58.61,29.53,29.51,0.96,potable
10.57,4.09,7.42,1423.88,652.24,42.74,0.04,188.75,0.24,48.53,371.08,4.51,29.22,4.97,32.33,3.9,0.94,potable
14.86,1.65,7.54,392.27,874.01,161.11,0.06,108.02,0.12,26.01,150.81,3.28,23.01,129.48,5.48,11.59,0.65,potable
3.7,0.69,6.69,1325.58,185.05,165.5,0.14,44.47,0.14,84.77,283.79,2.38,14.32,32.38,15.25,11.84,0.53,potable
10.23,3.28,8.15,142.98,573.68,108.53,0.19,24.68,0.01,122.61,250.94,1.98,82.39,131.28,34.57,20.11,1.12,potable
0.02,1.81,7.19,980.59,568.95,30.84,0.15,47.06,0.13,94.84,321.21,2.61,33.55,71.07,15.83,14.23,0.31,potable
6.68,2.43,6.55,1270.68,196.39,212.89,0.02,55.3,0.07,33.15,199.37,1.49,36.15,73.34,18.66,22.75,0.58,potable
6.08,0.07,6.96,1310.04,382.15,225.53,0.08,59.91,0.11,61.24,151.38,1.89,50.1,95.92,41.88,26.33,1.54,potable
8.89,4.41,6.97,218.49,209.83,134.76,0.07,181.64,0.15,7.79,165.91,0.11,94.68,144.04,9.42,5.06,1.74,potable
4.94,0.81,8.41,1010.47,329.86,25.46,0.13,122.06,0.14,30.32,71.84,3.69,20.75,1.72,9.84,26.38,0.58,potable
9.4,3.1,8.29,1276.7,375.19,63.02,0.05,208.21,0.19,88.65,215.67,2.58,9.09,135.34,39.78,37.66,1.53,potable
13.02,2.71,8.22,114.55,489.94,59.4,0.01,127.1,0.28,36.88,122.29,1.45,40.3,103.5,15.13,9.04,1.84,potable
11.63,2.39,6.8,537.59,331.33,260.17,0.01,219.67,0.11,79.4,256.22,2.31,38.27,15.36,41.44,12.64,1.11,potable
3.16,4.88,8.33,702.33,112.13,22.98,0.04,77.94,0.19,135.31,84.45,3.3,48.36,101.12,11.15,38.75,0.83,potable
8.77,3.6,7.07,756.99,442.6,94.36,0.2,59.48,0.04,168.38,87.02,1.28,91.56,11.56,17.03,37.82,0.98,potable
8.23,4.62,7.46,932.16,214.19,7.21,0.04,172.14,0.23,186.37,197.59,1.5,59.01,31.34,9.39,19.06,1.74,potable
0.91,2.65,6.67,370.4,850.36,280.84,0.02,26.54,0.24,155.83,40.37,4.49,69.27,83.19,15.8,4.01,1.64,potable
9.58,1.19,8.47,956.89,905.06,12.98,0.1,25.71,0.18,3.77,299.51,2.83,10.66,83.18,19.14,13.55,0.0,potable
12.31,3.25,6.81,1156.81,855.41,159.8,0.02,186.2,0.24,46.94,83.87,1.6,75.98,36.3,32.18,12.79,1.54,potable
12.52,2.05,7.67,826.83,565.44,288.71,0.08,230.35,0.22,73.19,313.06,0.21,6.32,92.36,42.52,44.22,1.01,potable
5.48,2.35,8.27,82.37,757.22,233.47,0.11,14.73,0.28,166.8,191.22,3.13,77.54,133.75,43.95,11.29,1.42,potable
8.76,4.85,7.62,156.41,891.14,234.55,0.2,243.83,0.16,23.53,369.95,4.09,45.17,83.4,48.58,31.67,0.98,potable
14.68,3.94,7.73,1361.17,29.49,52.35,0.13,160.13,0.24,189.6,273.67,3.06,21.01,101.62,47.11,43.01,0.26,potable
6.07,4.82,7.29,176.69,314.68,38.24,0.13,55.99,0.07,196.21,284.47,2.83,88.84,38.75,37.47,30.41,0.1,potable
9.82,3.87,6.75,123.46,385.53,178.88,0.06,22.62,0.13,10.1,146.89,4.57,76.21,71.41,7.74,36.62,1.36,potable
9.9,2.17,8.26,442.95,886.26,175.01,0.13,35.24,0.24,194.49,372.46,1.57,99.38,20.54,19.29,10.49,0.63,potable
7.29,1.8,8.19,554.64,822.2,241.55,0.01,199.91,0.1,161.85,353.68,2.63,82.16,55.66,30.56,6.8,1.86,potable
10.66,2.72,8.13,1236.84,218.14,197.59,0.11,160.35,0.04,4.61,325.59,2.2,71.14,5.64,21.14,21.86,0.69,potable
10.81,0.7,8.34,939.24,540.18,230.83,0.09,10.77,0.03,82.78,114.4,1.27,71.85,100.85,10.87,7.28,1.1,potable
5.03,1.19,8.16,59.21,183.17,44.01,0.06,230.43,0.29,157.7,171.08,1.57,84.39,121.3,35.6,5.05,0.04,potable
8.53,0.84,7.33,806.57,628.71,24.03,0.11,192.9,0.08,36.51,364.47,4.16,37.9,90.68,17.29,26.6,1.86,potable
10.28,3.92,8.4,776.73,32.29,79.1,0.11,201.94,0.03,4.93,304.78,4.33,28.71,37.51,6.98,17.74,1.16,potable
2.57,1.73,6.89,438.8,389.74,109.25,0.15,85.34,0.09,48.66,277.98,2.39,85.37,39.95,25.85,4.19,1.6,potable
5.93,3.81,7.3,1404.55,92.46,263.98,0.01,64.78,0.1,102.64,74.7,3.35,7.56,1.77,33.81,39.27,0.31,potable
12.24,4.5,6.78,1110.9,319.95,184.97,0.16,104.04,0.23,76.11,355.02,4.33,29.71,105.35,25.25,0.36,0.03,potable
1.89,2.6,6.89,747.35,770.35,95.86,0.1,78.78,0.0,119.58,79.59,4.73,53.95,52.66,7.75,17.5,0.73,potable
1.51,3.89,7.28,422.57,572.57,173.59,0.14,243.29,0.08,167.21,101.43,2.27,65.97,92.57,1.47,44.11,1.34,potable
0.1,2.49,6.52,861.99,273.92,219.15,0.04,144.93,0.23,10.32,277.54,3.71,93.4,149.67,19.13,25.94,1.17,potable
1.35,4.72,7.03,953.37,927.07,287.31,0.11,54.85,0.26,175.0,336.84,1.1,7.72,44.92,39.45,34.76,1.92,potable
5.38,2.21,7.7,155.9,303.96,73.39,0.1,186.81,0.28,27.05,322.93,0.68,19.28,102.3,13.28,44.05,2.18,potable
9.22,0.1,6.55,1460.72,556.94,291.19,0.18,230.92,0.07,42.83,196.82,3.08,42.82,30.15,12.9,15.99,0.06,potable
7.88,1.05,6.86,633.26,562.06,74.5,0.05,139.87,0.26,191.86,59.74,0.11,98.43,5.07,39.29,3.88,0.45,potable
2.73,3.38,7.61,784.4,186.15,67.61,0.01,219.9,0.08,55.1,109.45,3.73,46.18,29.63,4.05,24.49,0.22,potable
0.81,3.53,7.23,1269.12,139.58,124.56,0.0,73.98,0.22,116.77,382.01,2.61,44.13,118.17,1.1,27.34,1.83,potable
14.53,1.29,6.59,240.49,855.43,254.56,0.03,240.85,0.27,143.58,1.43,1.09,42.86,107.09,10.32,37.88,1.5,potable
10.13,0.29,8.02,194.19,110.22,47.22,0.13,56.6,0.1,172.79,113.08,4.5,77.63,79.91,27.14,12.36,0.66,potable
6.12,4.66,7.69,658.79,448.38,66.62,0.01,26.55,0.13,35.91,370.49,3.1,28.79,68.81,11.31,22.2,0.82,potable
8.38,1.01,7.55,776.2,996.17,66.89,0.16,101.87,0.08,86.09,399.65,3.66,95.97,62.28,3.47,23.96,0.41,potable
8.41,0.55,6.91,1087.83,441.52,190.81,0.06,204.79,0.2,9.53,237.02,2.59,75.34,93.25,4.05,10.81,0.22,potable
1.55,2.36,7.7,1367.47,165.09,170.63,0.2,143.23,0.09,32.4,37.57,1.87,87.89,9.46,25.63,8.35,1.99,potable
0.23,4.44,8.23,1158.48,269.47,253.5,0.05,187.43,0.25,15.72,6.9,1.04,56.65,35.64,5.98,3.05,0.36,potable
4.23,3.03,7.54,291.41,698.0,299.84,0.14,39.09,0.0,115.61,286.26,4.89,33.3,88.36,9.5,2.13,1.65,potable
12.14,4.01,7.21,1116.22,282.45,68.17,0.18,20.25,0.21,160.88,273.23,2.64,14.54,142.87,34.88,26.01,2.16,potable
5.59,2.68,7.26,1076.74,649.63,197.1,0.03,65.2,0.24,111.93,232.17,1.63,65.79,82.63,49.54,8.44,1.99,potable
6.9,3.19,6.87,304.08,398.36,223.47,0.15,112.3,0.3,64.07,234.16,3.37,72.23,29.63,38.1,37.9,1.77,potable
14.41,1.55,7.2,879.2,714.6,21.12,0.07,41.43,0.19,126.14,138.47,4.26,70.31,149.45,30.92,0.47,1.33,potable
14.65,4.17,8.05,903.78,384.14,148.87,0.13,153.56,0.13,42.94,311.56,2.01,91.33,120.68,48.5,20.87,1.06,potable
1.99,3.82,6.53,613.56,368.61,242.23,0.18,218.46,0.24,185.79,262.56,0.91,54.29,39.65,2.98,4.8,1.24,potable
7.32,3.05,6.59,1061.12,281.61,162.08,0.19,224.51,0.14,93.71,237.29,2.38,97.1,136.87,9.44,39.83,1.09,potable
4.3,1.83,6.53,1107.56,133.01,195.87,0.06,153.71,0.23,116.39,46.8,3.94,67.55,73.76,41.32,11.33,0.81,potable
8.53,2.49,8.41,449.63,615.19,175.79,0.13,89.14,0.06,162.53,39.34,0.89,16.67,44.91,27.82,37.65,1.98,potable
10.22,3.4,7.45,273.77,121.65,297.81,0.16,249.4,0.01,48.56,353.35,1.28,20.08,93.28,27.66,21.69,1.0,potable
6.25,3.05,6.79,878.49,532.7,12.37,0.0,108.71,0.21,84.82,288.72,4.51,55.34,16.17,36.0,11.24,2.18,potable
7.43,2.17,6.64,321.17,274.21,118.27,0.03,45.9,0.05,16.53,178.49,4.93,82.11,131.89,21.16,10.06,0.95,potable
9.96,3.58,6.98,382.41,965.64,166.72,0.2,161.83,0.12,162.37,140.12,2.23,85.03,37.8,36.63,13.34,2.04,potable
9.03,0.82,8.3,1058.75,594.36,102.08,0.1,23.62,0.1,147.33,193.34,0.38,70.76,144.55,8.57,30.45,0.58,potable
7.65,4.81,6.98,543.8,125.55,10.54,0.1,75.96,0.18,195.66,315.23,4.57,43.13,105.59,1.26,39.35,1.03,potable
0.01,2.14,8.24,527.78,983.08,212.15,0.11,33.1,0.01,138.23,207.58,0.97,80.35,81.93,15.67,43.7,0.44,potable
9.54,0.9,6.74,370.39,279.69,282.86,0.0,183.88,0.23,35.27,163.1,3.56,7.17,42.23,29.83,18.87,1.73,potable
7.74,1.1,7.87,555.29,750.93,151.5,0.04,88.72,0.25,23.62,305.5,2.72,60.15,76.51,49.73,17.66,1.96,potable
10.33,0.98,6.91,146.91,939.5,283.31,0.1,219.35,0.08,122.81,23.05,4.4,18.41,101.99,38.18,35.63,2.13,potable
0.98,2.39,7.93,260.34,695.53,264.57,0.13,191.16,0.09,148.19,67.77,0.57,88.18,89.31,47.68,15.22,0.94,potable
5.52,3.94,7.74,53.09,226.87,9.45,0.16,191.41,0.19,93.91,38.98,3.88,31.15,108.37,2.75,26.96,1.36,potable
3.4,1.83,7.48,468.25,708.73,126.95,0.03,97.24,0.23,10.29,32.87,3.28,96.8,110.56,27.5,32.19,0.81,potable
10.24,4.73,8.41,1464.38,168.89,162.7,0.12,196.7,0.1,10.64,314.28,2.5,24.62,96.52,39.38,19.27,0.96,potable
3.68,4.6,8.41,517.28,756.67,79.56,0.04,137.06,0.27,18.59,309.79,4.39,83.73,33.0,17.22,36.56,1.4,potable
10.51,1.07,8.32,624.8,258.94,214.09,0.02,204.2,0.17,37.89,40.42,3.53,89.97,84.51,1.03,35.99,1.27,potable
14.09,2.94,6.66,433.12,171.13,212.68,0.01,93.69,0.07,189.38,38.35,1.64,72.81,126.27,38.73,30.54,1.72,potable
6.66,2.67,8.44,323.23,81.25,168.03,0.08,148.93,0.19,86.06,337.35,2.34,5.97,124.83,41.27,19.45,1.72,potable
4.57,4.55,7.06,791.17,499.38,167.07,0.17,227.18,0.24,36.44,338.45,2.62,10.84,134.15,23.54,44.0,2.05,potable
1.97,3.59,7.69,1069.77,21.77,256.24,0.11,23.58,0.16,148.68,137.44,3.11,65.93,142.69,2.26,41.42,1.88,potable
6.81,4.17,7.44,391.96,35.41,125.65,0.02,185.03,0.26,148.11,102.78,4.39,42.63,52.38,19.72,16.49,0.23,potable
0.21,2.87,7.57,953.73,864.24,83.18,0.03,166.64,0.02,83.53,259.35,2.4,7.59,54.17,42.42,6.57,0.28,potable
3.53,0.18,6.95,1384.16,73.92,218.88,0.06,191.34,0.16,14.52,211.93,4.15,36.08,76.95,7.07,4.62,2.11,potable
10.59,0.12,6.72,634.27,661.42,22.43,0.18,186.1,0.23,39.44,386.65,0.59,7.79,78.2,29.65,31.42,0.02,potable
11.04,3.19,7.27,470.39,923.58,39.79,0.18,63.89,0.11,115.66,66.33,1.65,74.6,120.26,30.75,31.0,2.17,potable
8.85,2.86,7.42,324.13,871.59,14.9,0.11,58.94,0.06,11.52,51.68,2.29,55.36,132.13,47.43,40.01,0.54,potable
8.37,2.5,8.05,673.31,748.94,69.32,0.02,197.97,0.08,82.94,331.05,2.93,44.96,106.19,40.95,11.35,0.52,potable
2.77,2.05,7.36,686.95,286.78,128.61,0.09,106.95,0.29,24.62,212.69,0.11,2.05,140.78,31.17,21.66,0.06,potable
3.43,4.12,7.74,213.68,50.87,284.08,0.07,25.4,0.29,159.13,16.64,3.21,31.86,11.14,36.96,42.93,1.16,potable
14.44,2.55,8.16,119.46,114.63,274.73,0.14,184.81,0.18,20.98,286.21,0.48,64.92,1.07,36.89,22.54,1.68,potable
3.31,0.86,7.33,584.77,703.71,258.47,0.11,122.92,0.23,172.62,78.0,3.1,21.69,62.71,45.5,25.93,1.72,potable
10.35,2.1,8.44,210.09,63.47,189.55,0.04,8.14,0.23,88.42,37.31,2.87,42.35,43.75,26.11,5.35,0.5,potable
14.64,3.82,7.14,853.63,888.56,178.01,0.08,210.92,0.24,58.57,51.41,3.13,41.82,137.26,3.4,28.6,2.14,potable
2.42,0.17,7.43,1196.99,883.06,114.31,0.04,159.9,0.19,138.1,239.8,0.11,4.11,138.12,16.76,6.99,1.2,potable
